PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-685 b,,,+38 25 23,transit,2016.0,,,,1.11,0.15,1.16,5963.0,,16/05/10,Confirmed planets,,,1.6255222,,0.9440000000000001,19 35 29,,,0,Kepler-685
Kepler-620 b,,,+51 20 06,transit,2016.0,,,,1.15,0.03,1.22,6155.0,,16/05/10,Confirmed planets,,,12.91375431,,0.29600000000000004,19 24 38,,,0,Kepler-620
Kepler-160 c,,,+42 52 09,transit,2014.0,859.11,,,0.993,,0.884,5857.0,,14/02/26,Confirmed planets,,,13.699086999999999,,0.32898,19 11 05,,,0,Kepler-160
Kepler-160 b,,,+42 52 09,transit,2014.0,859.11,,,0.993,,0.884,5857.0,,14/02/26,Confirmed planets,,,4.3094269999999995,,0.14034000000000002,19 11 05,,,0,Kepler-160
30 Ari B b,,,+24 38 49.9957,RV,2009.0,41.8,0.18,0.91,1.16,0.07,1.13,6424.0,,16/01/10,"""Confirmed planets,  Planets in binary systems,  S-type""",,337.0,345.4,6.6,,02 37 00.52363,1.01,,2,30 Ari B
Kepler-1530 b,,,+48 09 55,transit,2016.0,,,,0.92,0.03,0.88,5477.0,,16/05/10,Confirmed planets,,,2.5904434,,0.146,19 12 39,,,0,Kepler-1530
Kepler-1530 c,,,+48 09 55,transit,2016.0,,,,0.92,0.03,0.88,5477.0,,16/05/10,Confirmed planets,,,5.3227406,,0.147,19 12 39,,,0,Kepler-1530
Kepler-780 b,,,+44 17 33,transit,2016.0,,,,1.01,0.05,1.02,5769.0,,16/05/10,Confirmed planets,,,0.67737516,,0.079,18 47 04,,,0,Kepler-780
Kepler-271 b,,,+44 17 03,transit,2014.0,434.75,,,,,0.88,5524.0,,14/02/26,Confirmed planets,,,5.217738,,0.08111,18 52 00,,,0,Kepler-271
Kepler-271 c,,,+44 17 03,transit,2014.0,434.75,,,,,0.88,5524.0,,14/02/26,Confirmed planets,,,7.410935,,0.09112999999999999,18 52 00,,,0,Kepler-271
Kepler-271 d,,,+44 17 03,transit,2016.0,434.75,,,,,0.88,5524.0,,16/05/10,Confirmed planets,,,5.24972541,,0.059000000000000004,18 52 00,,,0,Kepler-271
Kepler-776 b,,,+41 38 08,transit,2016.0,,,,0.83,0.05,0.78,5071.0,,16/05/10,Confirmed planets,,,4.89718784,,0.114,19 09 05,,,0,Kepler-776
Kepler-1156 b,,,+46 03 27,transit,2016.0,,,,1.0,0.02,1.0,5778.0,,16/05/10,Confirmed planets,,,11.89520511,,0.11800000000000001,19 15 42,,,0,Kepler-1156
Kepler-1408 b,,,+45 25 33,transit,2016.0,,,,1.21,0.0,1.35,6170.0,,16/05/10,Confirmed planets,,,2.99793191,,0.079,18 50 48,,,0,Kepler-1408
beta Cancri b,,,+09 11 07.9579,RV,2014.0,93.0,0.08,1.85,1.7,-0.29,47.2,4092.1,,15/11/26,Confirmed planets,,58.9,605.2,7.8,,08 16 30.92101,1.7,,0,beta Cancri
Kepler-1057 b,,,+41 33 29,transit,2016.0,,,,1.07,0.01,1.1,5987.0,,16/05/10,Confirmed planets,,,14.08827448,,0.3,19 49 49,,,0,Kepler-1057
WASP-6 b,,,-22 40 26,transit,2008.0,307.0,0.054000000000000006,,0.888,-0.2,0.87,5450.0,88.47,12/04/08,Confirmed planets,,,3.3610059999999997,0.503,1.224,23 12 38,0.0421,1092.2,0,WASP-6
Kepler-265 c,,,+41 14 41,transit,2014.0,1511.13,,,1.15,,1.103,5835.0,,14/02/26,Confirmed planets,,,17.028937,,0.23967,19 22 02,,,0,Kepler-265
Kepler-265 b,,,+41 14 41,transit,2014.0,1511.13,,,1.15,,1.103,5835.0,,14/02/26,Confirmed planets,,,6.846261999999999,,0.1695,19 22 02,,,0,Kepler-265
Kepler-265 e,,,+41 14 41,transit,2014.0,1511.13,,,1.15,,1.103,5835.0,,14/02/26,Confirmed planets,,,67.831024,,0.23603000000000002,19 22 02,,,0,Kepler-265
Kepler-265 d,,,+41 14 41,transit,2014.0,1511.13,,,1.15,,1.103,5835.0,,14/02/26,Confirmed planets,,,43.130617,,0.22691,19 22 02,,,0,Kepler-265
Kepler-581 b,,,+40 38 54,transit,2016.0,,,,1.0,0.03,1.0,5772.0,,16/05/10,Confirmed planets,,,40.6069821,,0.235,19 41 44,,,0,Kepler-581
Kepler-1518 b,,,+44 59 10,transit,2016.0,,,,1.54,0.06,1.88,6846.0,,16/05/10,Confirmed planets,,,5.11177904,,0.272,20 01 20,,,0,Kepler-1518
Kepler-464 b,,,+48 58 56,transit,2016.0,,,,1.21,0.19,1.59,5933.0,,16/05/10,Confirmed planets,,,7.25696522,,0.294,19 39 20,,,0,Kepler-464
