PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
HD 7449 b,2,1.09,,1270.5,2.33,0.8,,RV,2011.0,1.05,1.01,-0.11,6024.0,"Confirmed planets, Planets in binary systems, S-type",HD 7449
HD 7449 c,2,2.0,,4046.0,4.96,0.53,,RV,2011.0,1.05,1.01,-0.11,6024.0,"Controversial, Planets in binary systems, S-type",HD 7449
Kepler-1249 b,0,,0.212,24.334712699999997,,,,transit,2016.0,1.19,1.28,0.06,6202.0,Confirmed planets,Kepler-1249
Kepler-621 b,0,,0.205,2.62811375,,,,transit,2016.0,0.72,0.68,-0.02,4521.0,Confirmed planets,Kepler-621
HD 175370 b,0,4.6,,349.5,0.98,0.22,,RV,2016.0,1.02,23.5,-0.52,4301.0,Confirmed planets,HD 175370
Kepler-604 b,0,,0.231,25.85501786,,,,transit,2016.0,1.02,1.03,-0.02,5890.0,Confirmed planets,Kepler-604
Kepler-302 c,0,,1.13457,127.28218400000002,,,,transit,2014.0,1.021,1.22,,5740.0,Confirmed planets,Kepler-302
Kepler-302 b,0,,0.36999,30.184103999999998,,,,transit,2014.0,1.021,1.22,,5740.0,Confirmed planets,Kepler-302
Kepler-27 b,0,,0.364521,15.33,0.11800000000000001,,532.4,transit,2012.0,0.65,0.59,0.41,5400.0,Confirmed planets,Kepler-27
Kepler-27 c,0,,0.44653000000000004,31.33,0.191,,418.5,transit,2012.0,0.65,0.59,0.41,5400.0,Confirmed planets,Kepler-27
HD 39194 b,0,0.0117,,5.6363,0.0519,0.2,881.3,RV,2011.0,,,,5150.0,Confirmed planets,HD 39194
HD 39194 c,0,0.0187,,14.025,0.0954,0.11,651.2,RV,2011.0,,,,5150.0,Confirmed planets,HD 39194
HD 39194 d,0,0.0162,,33.941,0.172,0.2,484.1,RV,2011.0,,,,5150.0,Confirmed planets,HD 39194
Kepler-964 b,0,,0.18899999999999997,13.5225106,,,,transit,2016.0,0.93,0.84,0.03,5427.0,Confirmed planets,Kepler-964
WASP-69 b,0,0.26,1.057,3.8681382000000006,0.04525,,963.0,transit,2011.0,0.826,0.813,0.15,4715.0,Confirmed planets,WASP-69
Kepler-1059 b,0,,0.154,3.76419105,,,,transit,2016.0,0.75,0.72,-0.15,4906.0,Confirmed planets,Kepler-1059
HD 196885 A b,2,2.98,,1326.0,2.6,0.48,228.4,RV,2007.0,1.33,1.79,0.29,6340.0,"Confirmed planets, Planets in binary systems, S-type",HD 196885 A
Kepler-402 c,0,,0.14215999999999998,6.124821,,,,transit,2014.0,,1.264,,6090.0,Confirmed planets,Kepler-402
Kepler-402 e,0,,0.13305,11.242861,,,,transit,2014.0,,1.264,,6090.0,Confirmed planets,Kepler-402
Kepler-402 b,0,,0.11118,4.028751000000001,,,,transit,2014.0,,1.264,,6090.0,Confirmed planets,Kepler-402
Kepler-402 d,0,,0.12575999999999998,8.921099,,,,transit,2014.0,,1.264,,6090.0,Confirmed planets,Kepler-402
Kepler-1561 b,0,,0.09699999999999999,1.00520701,,,,transit,2016.0,1.07,1.11,0.04,5957.0,Confirmed planets,Kepler-1561
Kepler-1300 b,0,,0.122,22.241909200000002,,,,transit,2016.0,1.29,1.79,0.05,6130.0,Confirmed planets,Kepler-1300
Kepler-705 b,0,,0.188,56.056053799999994,,,,transit,2016.0,0.53,0.51,0.07,3722.0,Confirmed planets,Kepler-705
