,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
3131,Kepler-1517 b,+43 11 20,transit,2016.0,,,1.58,0.01,1.95,7010.0,Confirmed planets,5.54608367,,0.871,19 11 14,,,0,Kepler-1517,3.164885477957201e+27,2.742342282745882,3.9507547201863216,F,#f8f7ff
3132,Kepler-1245 b,+43 15 39,transit,2016.0,,,0.86,-0.01,0.83,5306.0,Confirmed planets,4.35409304,,0.128,19 22 59,,,0,Kepler-1245,1.882096436177897e+26,0.6687496939039073,0.963434078392484,G,#fff4ea
3133,Kepler-1245 c,+43 15 39,transit,2016.0,,,0.86,-0.01,0.83,5306.0,Confirmed planets,2.93658468,,0.128,19 22 59,,,0,Kepler-1245,1.882096436177897e+26,0.6687496939039073,0.963434078392484,G,#fff4ea
3134,Kepler-66 b,+46 41 16,transit,2013.0,1107.0,,1.038,0.012,0.966,5962.0,"""Confirmed planets,  Planets in open clusters""",17.815815,,0.25516500000000003,19 35 56,0.1352,,0,Kepler-66,4.063860996941461e+26,0.9826799213156058,1.4156975815880335,G,#fff4ea
3135,Kepler-528 b,+47 44 53,transit,2016.0,,,1.01,0.02,1.06,5807.0,Confirmed planets,19.78297415,,0.18600000000000005,19 42 44,,,0,Kepler-528,4.4038826686342965e+26,1.0229644229383548,1.473733438722931,G,#fff4ea
3136,Kepler-112 b,+43 12 35,transit,2014.0,495.55,,0.946,,0.841,5544.0,Confirmed planets,8.408878,,0.21507,19 47 55,,,0,Kepler-112,2.3030405409684435e+26,0.7397644406101519,1.065741455381037,G,#fff4ea
3137,Kepler-112 c,+43 12 35,transit,2014.0,495.55,,0.946,,0.841,5544.0,Confirmed planets,28.574263,,0.21871,19 47 55,,,0,Kepler-112,2.3030405409684435e+26,0.7397644406101519,1.065741455381037,G,#fff4ea
3138,Kepler-421 b,+45 05 16,transit,2014.0,320.0,0.041,0.794,-0.25,0.757,5308.0,Confirmed planets,704.1984,,0.379102,18 53 01,1.219,184.0,0,Kepler-421,1.567949679862629e+26,0.6103918418642353,0.8793608535232623,G,#fff4ea
3139,Kepler-388 b,+44 36 31,transit,2014.0,399.01,,0.635,,0.586,4498.0,Confirmed planets,3.173315,,0.07382000000000001,18 59 18,,,0,Kepler-388,4.8449549305080385e+25,0.3393028681610535,0.48881659171217917,K,#ffd2a1
3140,Kepler-388 c,+44 36 31,transit,2014.0,399.01,,0.635,,0.586,4498.0,Confirmed planets,13.297004,,0.07837000000000001,18 59 18,,,0,Kepler-388,4.8449549305080385e+25,0.3393028681610535,0.48881659171217917,K,#ffd2a1
3141,Kepler-589 b,+47 45 07,transit,2016.0,,,0.88,0.01,0.83,5296.0,Confirmed planets,16.54964934,,0.203,18 42 34,,,0,Kepler-589,1.8679480573351757e+26,0.6662313391682103,0.9598060112756409,G,#fff4ea
3142,Kepler-1003 b,+44 52 34,transit,2016.0,,,1.11,0.01,1.17,6109.0,Confirmed planets,3.55485691,,0.159,19 28 05,,,0,Kepler-1003,6.571566832812716e+26,1.2496175748931486,1.8002612451037971,F,#f8f7ff
3143,Kepler-703 b,+41 44 34,transit,2016.0,,,1.18,0.05,1.27,6185.0,Confirmed planets,4.58352176,,0.732,19 56 45,,,0,Kepler-703,8.13547589796624e+26,1.3903820151602306,2.0030535005850187,F,#f8f7ff
3144,Kepler-792 b,+38 49 15,transit,2016.0,,,1.09,0.08,1.12,5971.0,Confirmed planets,11.30119217,,0.175,19 28 02,,,0,Kepler-792,5.49592800645398e+26,1.142781438035268,1.646347791399136,G,#fff4ea
3145,KOI-183 b,+46 23 28,transit,2014.0,725.0,0.019,0.85,-0.1,0.95,5560.0,Confirmed planets,2.6843285,0.595,1.192,19 31 25,0.03585,1605.0,0,KOI-183,2.972782131551549e+26,0.8404738411435608,1.2108284279401693,G,#fff4ea
3146,Kepler-656 b,+47 22 54,transit,2016.0,,,0.86,-0.04,0.82,5281.0,Confirmed planets,1.26025909,,0.278,19 13 19,,,0,Kepler-656,1.802640315617463e+26,0.6544812361679625,0.9428782283424241,G,#fff4ea
3147,Kepler-1010 b,+44 08 58,transit,2016.0,,,0.86,-0.01,0.82,5253.0,Confirmed planets,34.2685705,,0.207,19 16 46,,,0,Kepler-1010,1.764712707422839e+26,0.6475594813714961,0.9329064040350915,G,#fff4ea
3148,CoRoT-5 b,+00 48 55,transit,2008.0,400.0,0.09,1.0,-0.25,1.186,6100.0,Confirmed planets,4.0378962,0.467,1.388,06 45 07,0.04947,1316.3,0,CoRoT-5,6.712826508851578e+26,1.262976796175451,1.8195072038855078,F,#f8f7ff
3149,Kepler-483 b,+41 53 05,transit,2016.0,,,1.28,0.09,1.47,6346.0,Confirmed planets,30.229104,,0.28600000000000003,19 26 35,,,0,Kepler-483,1.2079574748203613e+27,1.6942148452755599,2.440770190904138,F,#f8f7ff
3150,Kepler-1443 b,+47 04 01,transit,2016.0,,,1.19,0.0,1.27,6289.0,Confirmed planets,2.41811321,,0.087,18 53 45,,,0,Kepler-1443,8.696620638848608e+26,1.4375333305179279,2.070982031200786,F,#f8f7ff
3151,Kepler-786 b,+38 56 21,transit,2016.0,,,0.81,0.09,0.74,4838.0,Confirmed planets,53.52934870000001,,0.217,19 34 59,,,0,Kepler-786,1.0340549087146261e+26,0.49569491108166097,0.7141227490272711,K,#ffd2a1
3152,Kepler-399 d,+40 40 14,transit,2014.0,543.74,,0.927,,0.68,5502.0,Confirmed planets,58.034616,,0.17224,19 58 00,,,0,Kepler-399,1.4605514984860312e+26,0.5891163789289607,0.8487103631944174,G,#fff4ea
3153,Kepler-399 b,+40 40 14,transit,2014.0,543.74,,0.927,,0.68,5502.0,Confirmed planets,14.425281,,0.08749,19 58 00,,,0,Kepler-399,1.4605514984860312e+26,0.5891163789289607,0.8487103631944174,G,#fff4ea
3154,Kepler-399 c,+40 40 14,transit,2014.0,543.74,,0.927,,0.68,5502.0,Confirmed planets,26.675690000000003,,0.13032,19 58 00,,,0,Kepler-399,1.4605514984860312e+26,0.5891163789289607,0.8487103631944174,G,#fff4ea
3155,Kepler-743 b,+42 48 23,transit,2016.0,,,0.94,0.01,0.85,5486.0,Confirmed planets,3.17926292,,0.108,19 42 18,,,0,Kepler-743,2.2556814575332994e+26,0.7321187757777892,1.054726730262488,G,#fff4ea
3156,GJ 3323 b,-06 56 45.92,RV,2017.0,,0.23,0.16399999999999998,-0.27,0.119,3159.0,Confirmed planets,5.3636,0.00636,,05 01 57.469,0.03282,,0,GJ 3323,4.8608154369524006e+23,0.0339857787489408,0.048961603610306104,M,#ffcc6f
3157,GJ 3323 c,-06 56 45.92,RV,2017.0,,0.17,0.16399999999999998,-0.27,0.119,3159.0,Confirmed planets,40.54,0.00727,,05 01 57.469,0.1264,,0,GJ 3323,4.8608154369524006e+23,0.0339857787489408,0.048961603610306104,M,#ffcc6f
3158,Gliese 777 A b,+29 53 48.50,RV,2003.0,15.89,0.343,1.04,0.24,1.2,,"""Confirmed planets,  Planets in binary systems,  S-type""",2867.9,1.495,,20 03 37.405,3.92,,2,Gliese 777 A,,,,S-type binary,nan
